skill,category
Figma Testing,UI/UX
Figma Support,UI/UX
Figma Strategy,UI/UX
Accessibility (Beginner),UI/UX
Accessibility (Intermediate),UI/UX
Accessibility (Advanced),UI/UX
Accessibility (Expert),UI/UX
Accessibility Implementation,UI/UX
Accessibility Administration,UI/UX
Accessibility Analysis,UI/UX
Accessibility Design,UI/UX
Accessibility Development,UI/UX
Accessibility Optimization,UI/UX
Accessibility Integration,UI/UX
Accessibility Testing,UI/UX
Accessibility Support,UI/UX
Accessibility Strategy,UI/UX
Communication (Beginner),Soft Skills
Communication (Intermediate),Soft Skills
Communication (Advanced),Soft Skills
Communication (Expert),Soft Skills
Communication Implementation,Soft Skills
Communication Administration,Soft Skills
Communication Analysis,Soft Skills
Communication Design,Soft Skills
Communication Development,Soft Skills
Communication Optimization,Soft Skills
Communication Integration,Soft Skills
Communication Testing,Soft Skills
Communication Support,Soft Skills
Communication Strategy,Soft Skills
Leadership (Beginner),Soft Skills
Leadership (Intermediate),Soft Skills
Leadership (Advanced),Soft Skills
Leadership (Expert),Soft Skills
Leadership Implementation,Soft Skills
Leadership Administration,Soft Skills
Leadership Analysis,Soft Skills
Leadership Design,Soft Skills
Leadership Development,Soft Skills
Leadership Optimization,Soft Skills
Leadership Integration,Soft Skills
Leadership Testing,Soft Skills
Leadership Support,Soft Skills
Leadership Strategy,Soft Skills
Problem Solving (Beginner),Soft Skills
Problem Solving (Intermediate),Soft Skills
Problem Solving (Advanced),Soft Skills
Problem Solving (Expert),Soft Skills
Problem Solving Implementation,Soft Skills
Problem Solving Administration,Soft Skills
Problem Solving Analysis,Soft Skills
Problem Solving Design,Soft Skills
Problem Solving Development,Soft Skills
Problem Solving Optimization,Soft Skills
Problem Solving Integration,Soft Skills
Problem Solving Testing,Soft Skills
Problem Solving Support,Soft Skills
Problem Solving Strategy,Soft Skills
Teamwork (Beginner),Soft Skills
Teamwork (Intermediate),Soft Skills
Teamwork (Advanced),Soft Skills
Teamwork (Expert),Soft Skills
Teamwork Implementation,Soft Skills
Teamwork Administration,Soft Skills
Teamwork Analysis,Soft Skills
Teamwork Design,Soft Skills
Teamwork Development,Soft Skills
Teamwork Optimization,Soft Skills
Teamwork Integration,Soft Skills
Teamwork Testing,Soft Skills
Teamwork Support,Soft Skills
Teamwork Strategy,Soft Skills
Critical Thinking (Beginner),Soft Skills
Critical Thinking (Intermediate),Soft Skills
Critical Thinking (Advanced),Soft Skills
Critical Thinking (Expert),Soft Skills
Critical Thinking Implementation,Soft Skills
Critical Thinking Administration,Soft Skills
Critical Thinking Analysis,Soft Skills
Critical Thinking Design,Soft Skills
Critical Thinking Development,Soft Skills
Critical Thinking Optimization,Soft Skills
Critical Thinking Integration,Soft Skills
Critical Thinking Testing,Soft Skills
Critical Thinking Support,Soft Skills
Critical Thinking Strategy,Soft Skills
